owner,balance
22bV6DDJxvhRSKWTF2LBSExTiBx7Sawvi4a8bUFW22tA,3349529508448
24BLFjSAcUPPWs8F7nhwthfRPvh5mopNYfu5WXTkLChr,1870499532595
2Eg5WkWdnVYcoMYAH5UVmSQSWeE9pH2qDpXfRquxeF2C,583741861000
2JT2cPvV45VFV1LJJ4qBvvpYyEuGE1Ey46ku7WTL1Jvg,1545206599243
2WfeaMXh31wc2kzXDQGuKAYCBrCs8J6vBCwdLjMs8Uzr,2832250223849
2Y8k6Zc8yM9sFGbtB9zXHs7RkGPW7QWXy35ReGmMS3gi,5000067357440
2kN6XgaBRikJ2SYAVvUrvSj2My7yKEHDA2vd8o4LB4xp,600004550959
2qFWtmCJnCEdBvvforrTCrhRkFj6hFBWoivMmSRTWJjE,12098800907017
2w8MAdjrW1t5wzSy2ahsGmx83tRnxL3Rio9h6eSf8oi9,658770100000
38ESLHdJkqNvMbJmbgsHJGXjJPpsL4TkvSUgXegYgvpr,10001172029332
3QLTMUsSeywkHp1vTNsfSPgAW8jm1x4zSqRFTR96EBkd,1524191903507
44P5Ct5JkPz76Rs2K6juC65zXMpFRDrHatxcASJ4Dyra,4615814542407
49f6AWD2o3kpnZbLhjka85yDbcnXCrZ2AkFNUTWJatoJ,806861943985
4GQeEya6ZTwvXre4Br6ZfDyfe2WQMkcDz2QbkJZazVqS,1148845038144
4JB1Xs1a15szk61yTcLyLptA3FVU6YVFxv6teNBtPaQs,855994792985
4U5KGSLEzBpT6z7dsDY7Wp1GqvMCSHk1h2UR3u5VhFQ2,7033874432002
4ZrobGEDm47U9FNzDx2tLhioRv8vzoGnz8pBRXsEKxr4,678042470000
4fVBLqB9PoEyhG72dbr7cTLs2ggdMw3b6aGfELXSvFTX,5897290673608
4hvruD7YDRZL2xh5aCUrN2DoxZKCjGv9jofDXMvwGagC,586344311902
4wfL88cWENcYnvRYy8v3oYbJccQcZEzPA7fcQvoZoEB3,716429357340
51j9pR4HSEhaq9dun8LGFhNF3grVeaFRfME8MvFJYRQm,630982704851
57bLoghjgoLtiUQpLiL78fP4VeVUqFc3sYzKoUhvvZZ2,691666398991
5F9C7nNantk4gvHQg9T9M5zPdVKqzxfgdUMjkQWE1nLH,1507894342233
5U1e8CsFC8eyQLwS5AYmADCpuSRoZL5D6FJKuuFH6XvL,638266062031
5Z44heGLtP1r8e9sZULLnfqa6jGon7vZcfwYxvQrpCff,505326003285
5qi3Bfa8EaydQDZQ7u6qjauqefuDJNFcFH75YBr7zHuJ,1275693396109
5wTLevkkUWzKgRTWKcSjrgdoP8TnrEnXYGaAxFKibsS5,4434222048264
654iWmri2bNsLJJqNxAGWTjRKFH2ggJUJoVwabjzNn1K,510000308491
69CDDjW9pFEdbqcbfZTr9oSRo1kuRU8PEWCZYW11duJp,503904253336
6DXYmRSkyjgmi2E11c1JfDqGmRfmRNikpw1YUoeEporp,1240298718844
6KmixQCTuG7gNvXcPorntCMFTfJCH8s93KiaP197cutR,526798355239
