owner,countedBalance,originalBalance
1KyG18JWecrARoYtxUA1yZhtYbtL3N6z7YGCdsXjmR4,3032060577292,3032060577292
23KArks6tLYmY23cYFm2iRMnvVFr31BUJ7uUYvKcUUTn,858173296598,858173296598
25KRbpJTyTYVxh9fvemEbkNwzyKMDsuh2SpGkEtRZxyi,1703690603048,1703690603048
26mpJ8c5PuAfsneUqUpBRo1piLxLC1ksB67rt7vzdJrp,696812537925,696812537925
28bBojWdqh1C65C2PoueBgeKfbLFG5LSsbLLFAs6ZXF2,1599421544160,1599421544160
2AXcBC8rAP7kUFtWgYwDRj28MakdFtkeRsbGC6ajpSEL,1759878649911,1759878649911
2C3o9zXAji2mhjfn4b9jpNPy3uWiQH6GGUqAxxzzt2Ww,500000764911,500000764911
2EwnACc1Dh5M8bPyzrVdfqfza4PbiqvKV3fSvL9wFs28,8496561726696,8496561726696
2KtPf6xjr9J1sokuczEfDVtUSj7RTgacZY7hfaRzzf3P,3042135423089,3042135423089
2PTRtmabtfudXxKEL5rB2jxanAbwwu9oN5uq3iSC3VDc,790910757320,790910757320
2U2VJTbfM2C6XRUJjEY9BVbQhPtGMimvjj9dXBKVrDQ9,1461789182861,1461789182861
2URqUZwjisaeCEQfJ2qmfCewRWAPQBB6eGhDu66qQdCk,642135023892,642135023892
2WmPPToyyzz71JuUEp8xxsmcCswGrvkaDRKzBG13Au1w,1006180610866,1006180610866
2YfFXPkkbBvEid1vC7A2NoQGdoM6b9wVjz3zmC17fiL2,544170722481,544170722481
2gGMh19CM4SPJds1qUogJn5BGmYAM39NkQN4NFGF4BiB,1728604149861,1728604149861
2sp8wgRrqA5BoNL66q2wvYCatZBwJMixZH3iKumXTNsj,5747682064108,5747682064108
2uYad2a2gYWR3HnPWfMpcQgcA9vgyi7Xw3KFaGJm3eYK,661544693106,661544693106
2wVqErr4bnHPSPxd4e5abC41QEWuc53qLK9KtzNHymoA,735921263663,735921263663
2zWkRKi5Rw15Kjx9SxhMjPY7LQTfQyr9hQKuTCGSy2FE,500582681877,500582681877
33i3AYVuUiiR1KqBKsD7odwfVPrKuLMVZ9kcnzmyicMM,4000000000000,4000000000000
38mXoqUxF5juMBBJQbruA5CxXsVuHZoob5zMr9rcDqjH,541448148333,541448148333
3KoHEp26QVvQCJm7f6qfi8C35cG9a5omA6SVctzPemJp,1274299077127,1274299077127
3KtBmbLL9ZzCobCQ79oG63B11qW7gBEveeS2NfZu39HQ,1200000000000,1200000000000
3M3Yc7ubqoo56Fc7ibyiUaKGPrFHEkeXqFTPBQKdx1M4,1458609696905,1458609696905
3UStqDjRAEnL1S4dyRp2ujiF4GhS2vpxsfjU6ma6xsaJ,912361877540,912361877540
3Vz9hmYubPUgm6pyxLVTWXyQH1DdrTCKKLqCDbr9n2YK,635726956200,635726956200
3YrPFYJ9YWb7TLzk5VyzzxRQNJGSzgKc3qT5oNWx8Kmq,503483006680,503483006680
3Z6RE89sC3aDa46wPhpn7RpNgvpTvHktUvFQJ1PMHDfx,2000679757748,2000679757748
3e3ahk4yTc6guuj1CzyHVLoSbsyiN4w4Xd2gGeGAaWLd,1375979240605,1375979240605
3f8cC2XjrzQWXVZTgK1kfC8DfnteSxpU9KLUqvUcVRiS,751549369869,751549369869
3fCFtJ2263PJiVtgJ7vwXzAf8HgUCgcBxiK4fZpp5vUn,517923586323,517923586323
3fQAnYCuYWS7vDFW1f6s3uwHhTJQji8qyc6EShMK9a1L,1000590954305,1000590954305
3iiEvfGHGuSRBzv5VK3qb7DeCbzQG2SZZCDPDeeVWrAJ,750406785553,750406785553
